time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-10 00:00:00+00:00,276,58,171,11
2026-08-11 00:00:00+00:00,178,54,101,10
2026-08-12 00:00:00+00:00,185,58,136,14
2026-08-13 00:00:00+00:00,180,51,47,11
2026-08-14 00:00:00+00:00,294,67,208,13
2026-08-15 00:00:00+00:00,182,54,228,21
2026-08-16 00:00:00+00:00,67,42,53,17
2026-08-17 00:00:00+00:00,108,43,80,14
2026-08-18 00:00:00+00:00,76,44,63,11
2026-08-19 00:00:00+00:00,172,47,126,12
2026-08-20 00:00:00+00:00,33,32,10,7
2026-08-21 00:00:00+00:00,54,34,52,8
2026-08-22 00:00:00+00:00,41,29,20,7
2026-08-23 00:00:00+00:00,30,28,21,7
