time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-08 00:00:00+00:00,34,16,104,43
2026-07-09 00:00:00+00:00,200,46,119,29
2026-07-10 00:00:00+00:00,72,26,64,11
2026-07-11 00:00:00+00:00,175,26,76,9
2026-07-12 00:00:00+00:00,106,24,99,10
2026-07-13 00:00:00+00:00,84,22,73,7
2026-07-14 00:00:00+00:00,239,59,107,9
2026-07-15 00:00:00+00:00,76,20,37,6
2026-07-16 00:00:00+00:00,395,84,191,8
2026-07-17 00:00:00+00:00,224,66,170,27
2026-07-18 00:00:00+00:00,219,63,127,9
2026-07-19 00:00:00+00:00,126,46,121,9
2026-07-20 00:00:00+00:00,183,57,82,5
2026-07-21 00:00:00+00:00,419,90,313,9
