time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-09-10 00:00:00+00:00,87,39,61,4
2026-09-11 00:00:00+00:00,63,51,21,6
2026-09-12 00:00:00+00:00,226,81,2,2
2026-09-13 00:00:00+00:00,41,38,7,2
2026-09-14 00:00:00+00:00,61,41,4,2
2026-09-15 00:00:00+00:00,33,32,9,3
2026-09-16 00:00:00+00:00,182,51,75,6
2026-09-17 00:00:00+00:00,55,40,2,2
2026-09-18 00:00:00+00:00,39,32,7,7
2026-09-19 00:00:00+00:00,42,31,8,4
2026-09-20 00:00:00+00:00,60,43,24,7
2026-09-21 00:00:00+00:00,46,36,26,9
2026-09-22 00:00:00+00:00,66,43,18,6
2026-09-23 00:00:00+00:00,73,38,12,5
