referrer,views_total,views_unique
github.com,302,9
news.ycombinator.com,32,23
linkedin.com,9,6
Google,9,4
kagi.com,6,6
pypi.org,6,2
hackernewsx.com,4,1
hn.algolia.com,3,2
l.instagram.com,2,1
com.linkedin.android,1,1
