time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-27 00:00:00+00:00,178,46,151,8
2026-08-28 00:00:00+00:00,166,37,120,8
2026-08-29 00:00:00+00:00,124,64,38,5
2026-08-30 00:00:00+00:00,53,43,9,3
2026-08-31 00:00:00+00:00,555,69,389,8
2026-09-01 00:00:00+00:00,731,63,237,12
2026-09-02 00:00:00+00:00,486,71,257,10
2026-09-03 00:00:00+00:00,332,64,210,10
2026-09-04 00:00:00+00:00,67,52,40,4
2026-09-05 00:00:00+00:00,361,80,106,6
2026-09-06 00:00:00+00:00,156,58,130,2
2026-09-07 00:00:00+00:00,219,78,72,5
2026-09-08 00:00:00+00:00,294,68,87,8
2026-09-09 00:00:00+00:00,202,62,74,10
