referrer,views_total,views_unique
github.com,297,10
news.ycombinator.com,32,23
linkedin.com,10,7
Google,7,2
kagi.com,6,6
pypi.org,5,1
hackernewsx.com,4,1
hn.algolia.com,3,2
l.instagram.com,2,1
com.linkedin.android,1,1
