time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-14 00:00:00+00:00,294,67,208,13
2026-08-15 00:00:00+00:00,182,54,228,21
2026-08-16 00:00:00+00:00,67,42,53,17
2026-08-17 00:00:00+00:00,108,43,80,14
2026-08-18 00:00:00+00:00,76,44,63,11
2026-08-19 00:00:00+00:00,172,47,126,12
2026-08-20 00:00:00+00:00,33,32,10,7
2026-08-21 00:00:00+00:00,54,34,52,8
2026-08-22 00:00:00+00:00,41,29,20,7
2026-08-23 00:00:00+00:00,30,28,21,7
2026-08-24 00:00:00+00:00,36,30,15,5
2026-08-25 00:00:00+00:00,237,61,131,12
2026-08-26 00:00:00+00:00,228,60,157,5
2026-08-27 00:00:00+00:00,178,46,151,8
