time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-13 00:00:00+00:00,84,22,73,7
2026-07-14 00:00:00+00:00,239,59,107,9
2026-07-15 00:00:00+00:00,76,20,37,6
2026-07-16 00:00:00+00:00,395,84,191,8
2026-07-17 00:00:00+00:00,224,66,170,27
2026-07-18 00:00:00+00:00,219,63,127,9
2026-07-19 00:00:00+00:00,126,46,121,9
2026-07-20 00:00:00+00:00,183,57,82,5
2026-07-21 00:00:00+00:00,419,90,313,9
2026-07-22 00:00:00+00:00,57,47,78,27
2026-07-23 00:00:00+00:00,253,70,102,12
2026-07-24 00:00:00+00:00,51,35,62,10
2026-07-25 00:00:00+00:00,56,35,42,2
2026-07-26 00:00:00+00:00,330,73,176,4
